time,open,high,low,close,,
1.62E+12,53725.49,54815.84,53664.21,54779.99,,
1.62E+12,54780.26,54787.99,54364.32,54488.22,,
1.62E+12,54491.33,54515.22,53852.36,54097.02,,
1.62E+12,54097.03,54338,53750,54098.11,,
1.62E+12,54098.1,54272.05,53770.71,53793.76,,
1.62E+12,53793.75,54046.78,53626.97,53885.96,,
1.62E+12,53885.96,54225.35,53790,54108.79,,
1.62E+12,54108.79,54584.19,54052.76,54326.14,,
1.62E+12,54326.14,54519.47,53882.52,54278.61,,
1.62E+12,54278.61,54860.28,54139.1,54808.75,,
1.62E+12,54808.76,54895,54474.99,54884.5,,
1.62E+12,54874.67,55763,54782.93,55510,,
1.62E+12,55510.01,55813.09,54468.26,54676.87,,
1.62E+12,54676.86,54676.87,53300,53936.44,,
1.62E+12,53936.43,54126.67,53134.8,53467.8,,
1.62E+12,53468.33,53837.16,53332.46,53647.63,,
1.62E+12,53647.63,53692.21,53005,53651.39,,
1.62E+12,53651.38,54065.65,53510.01,53864.41,,
1.62E+12,53864.4,54407.74,53826.26,54173.38,,
1.62E+12,54177.47,54734.96,54032.38,54632.79,,
1.62E+12,54632.78,55444,54300.11,55227.99,,
1.62E+12,55228,55389,54679.95,54832.98,,
1.62E+12,54832.99,54991,54512,54858.47,,
1.62E+12,54858.47,55481.28,54834,55219.99,,
1.62E+12,55219.99,56333,55139.01,56262.56,,
1.62E+12,56260.09,56400,55761.66,56092.62,,
1.62E+12,56092.62,56489.66,55952.63,56328.81,,
1.62E+12,56328.81,57075.92,56100,57009.53,,
1.62E+12,57009.53,57100,56366,56860.01,,
1.62E+12,56860.01,57100,56566,56730.54,,
1.62E+12,56730.55,57387.69,56595.76,56739.4,,
1.62E+12,56739.4,56894.11,56037.15,56266,,
1.62E+12,56266,57045.22,55530.01,56918.4,,
1.62E+12,56919.1,57225.73,56476.95,56905.37,,
1.62E+12,56905.37,56950,55800,55851.59,,
1.62E+12,55851.59,56499.98,55505,55601.55,,
1.62E+12,55607.55,55947.36,55170.22,55781.92,,
1.62E+12,55781.91,56323.51,55649.93,56314.58,,
1.62E+12,56316.41,56483.11,55599,55992.6,,
1.62E+12,55992.6,56179.87,55603.66,55835.4,,
1.62E+12,55835.39,55835.39,55200.8,55275.32,,
1.62E+12,55275.32,55767.15,55005,55557.94,,
1.62E+12,55555.13,55797.07,55005,55034.2,,
1.62E+12,55034.21,55093.53,54272.82,54761.02,,
1.62E+12,54761.01,54928.43,54431.86,54474.27,,
1.62E+12,54474.27,55612.95,54414.4,55530.6,,
1.62E+12,55530.59,56270.75,55407.18,56227.34,,
1.62E+12,56233.42,56445.09,55702.09,56272.54,,
1.62E+12,56275,56999,56272.54,56921.18,,
1.62E+12,56921.18,57238.5,56462.48,56815.13,,
1.62E+12,56815.13,57091.06,55855,56347.19,,
1.62E+12,56347.19,57030,56340.06,56872.1,,
1.62E+12,56872.1,57050,56269.76,56802.88,,
1.62E+12,56802.88,57682,56531.67,57519.86,,
1.62E+12,57519.86,57651.35,56628.03,56827.84,,
1.62E+12,56823.78,57600,56560,57457.36,,
1.62E+12,57457.36,57900,57235.29,57562.49,,
1.62E+12,57573.7,58050,57462.12,57874.67,,
1.62E+12,57882.57,58150,57604.16,57773.16,,
1.62E+12,57773.15,58081.51,56777.77,57362.04,,
1.62E+12,57362.05,57640.34,56624,56902.8,,
1.62E+12,56902.8,57120.67,56700,56972.08,,
1.62E+12,56972.08,57294.47,56800,57104.17,,
1.62E+12,57107.14,57238.7,56456.58,56696.17,,
1.62E+12,56696.18,57269.87,56350,57164.51,,
1.62E+12,57168.24,57430,56894.49,57061.52,,
1.62E+12,57061.52,57061.53,56456.71,56670.9,,
1.62E+12,56670.9,57095.76,56259.79,56503.21,,
1.62E+12,56506.71,56819.42,56311,56540.53,,
1.62E+12,56540.53,56866.83,55826.05,56715.97,,
1.62E+12,56715.97,57073.48,56347,56500,,
1.62E+12,56499.99,56844.61,56179.47,56386.89,,
1.62E+12,56385.97,56391.25,54962.84,55689.99,,
1.62E+12,55689.99,56252.77,55368.42,56211.83,,
1.62E+12,56221.53,57095.41,56025.2,56956.95,,
1.62E+12,56956.96,57625.91,56956.95,57367.21,,
1.62E+12,57367.21,57768,57062.31,57175.99,,
1.62E+12,57175.26,57667.79,57070,57349.23,,
1.62E+12,57349.24,57547.07,56712.51,56942.41,,
1.62E+12,56942.41,57200,56400,56696.8,,
1.62E+12,56696.81,57170,56262.14,56936.78,,
1.62E+12,56936.78,57465.38,56859.06,57157.29,,
1.62E+12,57157.29,57500,57153.68,57221.72,,
1.62E+12,57221.72,57307.2,56312.91,56689.35,,
1.62E+12,56689.36,56707,56081.59,56386.39,,
1.62E+12,56386.39,56639.54,56078.23,56473.41,,
1.62E+12,56473.41,56790,56308.98,56694.32,,
1.62E+12,56694.32,56899,56257.47,56896.32,,
1.62E+12,56882.74,57090.46,56610,56744.89,,
1.62E+12,56744.89,57060.86,56491.92,56931.58,,
1.62E+12,56931.57,57389.58,56753.9,57343.7,,
1.62E+12,57343.7,57649.03,57126.2,57434.31,,
1.62E+12,57434.3,57614.52,57253.31,57610.77,,
1.62E+12,57610.77,59850,57446.81,59448.19,,
1.62E+12,59448.2,60200,59420.99,59849.74,,
1.62E+12,59853.58,60500,59232.53,59911.99,,
1.62E+12,59911.99,60159.45,59500,59915.25,,
1.62E+12,59915.3,60087.09,59700.67,59756.45,,
1.62E+12,59761.93,59953.63,59523,59692.99,,
1.62E+12,59693,59924.18,59458.67,59820.43,,
1.62E+12,59820.39,60520,59751.7,60333.33,,
1.62E+12,60333.33,60451.39,59977.6,60281.95,,
1.62E+12,60281.95,60864.97,60144.2,60773.56,,
1.62E+12,60773.56,61844,60651.74,61648.26,,
1.62E+12,61648.26,61737.02,60605.5,61151.07,,
1.62E+12,61156.4,61311.19,60767.62,61096.04,,
1.62E+12,61091.75,61480,61089.98,61188.39,,
1.62E+12,61188.38,61724.79,60900,61260.48,,
1.62E+12,61260.47,61260.48,60724.26,61081,,
1.62E+12,61081,61218.2,60788.01,61061.27,,
1.62E+12,61061.28,61472.08,60900,61356.31,,
1.62E+12,61356.3,61595.09,61088.67,61225.53,,
1.62E+12,61225.54,61285.41,60903.96,61016.29,,
1.62E+12,61016.29,61016.3,60523.14,60975.39,,
1.62E+12,60975.39,60975.39,60455.28,60494.8,,
1.62E+12,60494.8,60871.03,60250.01,60787.75,,
1.62E+12,60787.75,61110.53,60618,60934.11,,
1.62E+12,60933.62,60970,60135.37,60293.09,,
1.62E+12,60293.08,60405.03,59354.62,60308.31,,
1.62E+12,60308.3,60550,60140.96,60427.82,,
1.62E+12,60427.81,60481.7,59734.03,59940,,
1.62E+12,59940,60477.83,59868.12,60001.91,,
1.62E+12,60001.9,60150,59470,59681.26,,
1.62E+12,59681.21,60066.59,59300,59567.74,,
1.62E+12,59567.74,60023.07,59523.66,59701.1,,
1.62E+12,59701.1,60369.99,59700,60138.31,,
1.62E+12,60138.31,60200,59789.74,59931.7,,
1.62E+12,59928.71,60325.98,59702.78,60264.48,,
1.62E+12,60264.48,60485.08,59852.18,60081.54,,
1.62E+12,60081.55,60324.43,59733.38,60201.19,,
1.62E+12,60201.19,60750,58966.78,58968.31,,
1.62E+12,58976.08,59917.78,58705.47,59404.48,,
1.62E+12,59404.48,60251.42,59227.52,60066.56,,
1.62E+12,60066.56,60331.02,60037.61,60069.63,,
1.62E+12,60069.63,60491.47,60069.62,60379.99,,
1.62E+12,60379.99,60633.43,59658.87,59773.71,,
1.62E+12,59773.7,59916.24,59005,59013.35,,
1.62E+12,59019.39,59365.42,58421,58781.49,,
1.62E+12,58783.38,58792.57,57253,57789.76,,
1.62E+12,57789.75,58350,57500,57757.7,,
1.62E+12,57757.71,58100,54600,55867.91,,
1.62E+12,55871.29,56438,55555.55,56355.14,,
1.62E+12,56355.13,56576.37,55888.01,56150.79,,
1.62E+12,56150.8,56481.38,55050,56439.53,,
1.62E+12,56439.54,57046.87,56250.48,56855.58,,
1.62E+12,56855.58,57312.47,56123.12,56134.09,,
1.62E+12,56134.09,56816.69,55854.2,56224.13,,
1.62E+12,56224.14,56700,55669.28,56247.87,,
1.62E+12,56261.02,56331.11,55478.01,56035.79,,
1.62E+12,56034.82,56377.66,55800,56113.9,,
1.62E+12,56113.9,56647.24,56096.8,56570.36,,
1.62E+12,56570.37,56930.17,56221,56379.97,,
1.62E+12,56379.97,56940,56338.56,56707.71,,
1.62E+12,56712.71,56900,55979.22,56136.73,,
1.62E+12,56144.74,56672,55537,55605.2,,
1.62E+12,55605.2,56140.55,53960.11,54088.76,,
1.62E+12,54097.2,54568.42,53271.34,54471.57,,
1.62E+12,54471.57,54649.95,54122.38,54567.64,,
1.62E+12,54567.64,54624.99,53850,54272.86,,
1.62E+12,54272.66,54850,54188.82,54418.19,,
1.62E+12,54418.19,54459.08,53607.93,54096.52,,
1.62E+12,54088.44,55334.77,53650,55060.06,,
1.62E+12,55060.05,55491,54787.7,55239.81,,
1.62E+12,55239.81,56100,55110.73,55894.27,,
1.62E+12,55892.13,56400,55709.32,55870.43,,
1.62E+12,55870.43,56150.05,55432.44,55805,,
1.62E+12,55805,55900,55079.63,55471.21,,
1.62E+12,55464.11,55631.57,54596.89,55091.95,,
1.62E+12,55091.94,55906.86,55006.35,55324.3,,
1.62E+12,55324.3,55722.55,55199.48,55645.93,,
1.62E+12,55645.93,55913.57,55420,55844.92,,
1.62E+12,55844.92,56087.02,55436.66,55657.89,,
1.62E+12,55657.9,55850.99,54950.16,55250.21,,
1.62E+12,55250.2,55667.95,55091.32,55349.99,,
1.62E+12,55349.99,55820,55151.7,55731.36,,
1.62E+12,55731.36,56431.41,55673.23,56373.1,,
1.62E+12,56369.86,56619.02,56083.08,56450.11,,
1.62E+12,56450.1,56820,56225.79,56243.43,,
1.62E+12,56243.44,56938.29,56070.23,56900.75,,
1.62E+12,56900.74,57189.43,56258.77,56518.57,,
1.62E+12,56518.57,56535.06,56060,56283.4,,
1.62E+12,56283.41,56283.41,55629.34,55777.69,,
1.62E+12,55777.68,56152.41,55401.02,55506.23,,
1.62E+12,55506.23,55861.88,55401.01,55569.07,,
1.62E+12,55569.06,55970.28,55185.42,55951.37,,
1.62E+12,55951.37,56326.53,55834.29,56306.84,,
1.62E+12,56306.84,56322.46,55682.03,55821.01,,
1.62E+12,55819.23,56052.63,55622.94,55775.16,,
1.62E+12,55784.11,55871.05,54326.27,54762.77,,
1.62E+12,54763.59,55234.88,54600,55088.89,,
1.62E+12,55088.9,55200,54569.99,54840,,
1.62E+12,54840.01,55413.63,54123.69,55151.01,,
1.62E+12,55151.01,55406.79,54711.6,55105.41,,
1.62E+12,55108.44,55152.48,54524.65,54548.97,,
1.62E+12,54547.57,55244.03,54298.18,54930,,
1.62E+12,54930,55600.27,54740,55275.08,,
1.62E+12,55275.08,55659.93,55162.6,55542.5,,
1.62E+12,55542.5,57576.28,55542.5,57575.51,,
1.62E+12,57575.51,58201.58,57329.44,57867.42,,
1.62E+12,57867.42,58333,57709.04,57715.19,,
1.62E+12,57710.93,58732.08,57601.92,58427.49,,
1.62E+12,58427.49,58940,58234.33,58284.41,,
1.62E+12,58299.98,58974.73,58236,58912.97,,
1.62E+12,58912.97,59561.54,58709.03,58927.54,,
1.62E+12,58927.53,59326.93,58758.01,59043.14,,
1.62E+12,59043.13,59300,58908,58996.77,,
1.62E+12,58999.17,59058.33,58606.1,58712.33,,
1.62E+12,58712.34,59200,58623.85,58800.01,,
1.62E+12,58800.01,59183.96,58651,58957.44,,
1.62E+12,58957.43,59070,58650.01,58910,,
1.62E+12,58909.99,58926.26,58119,58355.15,,
1.62E+12,58355.14,58525.83,57899,58007.11,,
1.62E+12,58007.11,58475.01,57936.22,58399.98,,
1.62E+12,58399.98,58660,58221.05,58520.25,,
1.62E+12,58520.24,58550,57870.38,58170.37,,
1.62E+12,58168.69,58187.11,57586.31,58051.31,,
1.62E+12,58051.31,58188.85,57777,57846.31,,
1.62E+12,57846.31,58037.35,57500,57863.14,,
1.62E+12,57863.13,59637.39,57700,59533.68,,
1.62E+12,59533.67,60129.97,59037.15,59080.61,,
1.62E+12,59074.61,59480,59073.4,59250.81,,
1.62E+12,59250.81,59310.13,58000.1,58221.01,,
1.62E+12,58221.02,58416.56,57200,57293.79,,
1.62E+12,57294.12,57898.66,57023,57508.9,,
1.62E+12,57506.15,57995,57434.79,57900.05,,
1.62E+12,57900.06,58146.6,57623.23,57627.64,,
1.62E+12,57635.11,58036.43,57354.24,57648.16,,
1.62E+12,57641,57689.65,56270.74,56880,,
1.62E+12,56880,57413.67,56663.23,57393.18,,
1.62E+12,57393.19,57763,57200,57358.32,,
1.62E+12,57358.31,57898.48,57298.81,57779.84,,
1.62E+12,57779.84,58259.02,57632.38,57866.12,,
1.62E+12,57866.13,58391.78,57603.92,58364.76,,
1.62E+12,58362.01,58492.85,57978.71,58142.29,,
1.62E+12,58142.29,58381.5,57700,57834.04,,
1.62E+12,57834.04,58568,57499.63,58338.07,,
1.62E+12,58338.09,58888,58178.13,58300,,
1.62E+12,58295.02,58707.27,58101.97,58583.92,,
1.62E+12,58583.92,58834.49,58402.66,58831.33,,
1.62E+12,58831.34,59249.5,58718.57,58849.99,,
1.62E+12,58849.99,58884,58057.04,58280,,
1.62E+12,58279.99,58786.03,57950.59,58729.99,,
1.62E+12,58729.98,59164.86,58500,58971.5,,
1.62E+12,58977.04,59180,58610.56,58859.79,,
1.62E+12,58857.51,58976.47,58625,58864.3,,
1.62E+12,58865.57,58956,58345.14,58800,,
1.62E+12,58800,58970.6,58643.99,58826.56,,
1.62E+12,58826.56,59468,58101.92,58372.4,,
1.62E+12,58372.41,58755.15,58299.08,58648.78,,
1.62E+12,58648.78,58648.78,58283.94,58501.56,,
1.62E+12,58501.55,58550.61,58000,58030.01,,
1.62E+12,58030.01,58677.52,57820.17,58639.33,,
1.62E+12,58639.33,58879.18,58482.57,58724.01,,
1.62E+12,58724.02,58913.98,58416.16,58549.33,,
1.62E+12,58549.33,58581.62,58179.05,58367.74,,
1.62E+12,58367.75,58606.63,58153.28,58209.83,,
1.62E+12,58209.83,58362.11,58050,58131.57,,
1.62E+12,58131.57,58373.46,57980,58344.3,,
1.62E+12,58344.3,58536.84,58268,58402.41,,
1.62E+12,58402.41,58798.6,58402.4,58671.46,,
1.62E+12,58671.45,58899,58577.55,58780.02,,
1.62E+12,58780.03,58908.26,58577,58687.97,,
1.62E+12,58685.98,59299,58626.27,59242.47,,
1.62E+12,59242.91,59325.6,58756.41,59144.54,,
1.62E+12,59144.54,59880,58610.62,59033.13,,
1.62E+12,59027.95,59368.75,58755.3,59365.02,,
1.62E+12,59365.02,59722,59030.23,59244.52,,
1.62E+12,59244.51,59300,58901.66,59031.13,,
1.62E+12,59032.02,59297,59019,59138.44,,
1.62E+12,59138.43,59474.89,59104.28,59173.03,,
1.62E+12,59173.03,59424.73,59134.89,59272.82,,
1.62E+12,59272.83,59381.7,58131.55,58519.84,,
1.62E+12,58519.77,58782.77,58371.01,58728.76,,
1.62E+12,58728.75,58800,58370.65,58503.01,,
1.62E+12,58503.01,58525.96,57966.85,58102.28,,
1.62E+12,58100.02,58589.1,57811.41,58331.43,,
1.62E+12,58331.42,58463.99,58091.02,58180,,
1.62E+12,58179.99,58180,57480,57615.32,,
1.62E+12,57615.33,57856.42,57363.07,57790,,
1.62E+12,57790,57797.45,56717.81,56909.83,,
1.62E+12,56911.99,57242.59,56856.66,57129.99,,
1.62E+12,57130,57413.66,56668,57047.98,,
1.62E+12,57047.98,57312.64,56862.07,56972.68,,
1.62E+12,56972.68,57325.45,56800,57161.38,,
1.62E+12,57161.38,57260,55450.11,55963.32,,
1.62E+12,55960.52,56384.33,55605.94,56134.34,,
1.62E+12,56134.34,56330,55811,56267.65,,
1.62E+12,56270.13,56291.16,55870.23,56191.64,,
1.62E+12,56191.64,57362.68,56191.63,57026.8,,
1.62E+12,57021.95,57320.66,57000.05,57177.37,,
1.62E+12,57177.37,57539,57013.3,57159.04,,
1.62E+12,57159.04,57415,56750,57222.31,,
1.62E+12,57220.26,57303.95,56962.26,57249.14,,
1.62E+12,57249.13,57481.01,57186.82,57365.08,,
1.62E+12,57365.08,57676,57357.94,57513.18,,
1.62E+12,57517,57997,57517,57760.48,,
1.62E+12,57760.47,58098.99,57474.46,58087.79,,
1.62E+12,58085.41,58113,57530.82,57588.25,,
1.62E+12,57588.25,57789.25,57128.89,57351.56,,
1.62E+12,57351.56,57449.47,56420,56590.76,,
